id,clientId,created_at,updated_at,description,job,price,comments,status,paymentSign
81,78,"2021-08-05 15:13:01","2021-08-05 19:26:46","Silla tipo Rody alta negra c/apoyas","Cilindro y ruedas",4770,"AVISADA X W APP",Entregada,1000
82,79,"2021-08-05 15:29:47","2021-09-02 16:24:37","2 Sillones " C " chico negros","Colocar chapòn con manija",4400,NULL,Entregada,1000
83,80,"2021-08-06 14:57:51","2021-09-02 16:24:07","Sillòn Mesh cromado",Cilindro,3400,AVISADO,Entregada,1000
84,81,"2021-08-06 15:48:51","2021-08-30 16:12:06","Silla R alta en tela bordò","Cambiar pieza respaldo",700,NULL,Entregada,NULL
85,48,"2021-08-06 17:43:57","2021-08-31 14:46:22","Volviò a traer silla anterior con enganche en tela mesh.","Hacer nueva funda y volver a cobrar",2800,AVISADO,Entregada,NULL
86,82,"2021-08-07 13:34:14","2021-09-16 19:30:20","2 Sillas fijas de cocina, negras",.,10500,"Enviè presup. x w app. NO SE HACE. Se soldò una....",Entregada,NULL
87,83,"2021-08-07 15:30:55","2021-08-28 16:32:53","Silla Rody alta tapizada en Altamira","Revisar y cotizar cilindro, ruedas Portantino",10100,AVISADO,Entregada,1000
88,84,"2021-08-09 17:11:09","2021-08-18 16:31:47","Asiento de gerencial gris con apoyas y base cromada","Colocar cilindro largo",3400,"TERMINADO
AVISADO",Entregada,800
89,85,"2021-08-09 18:14:08","2021-08-20 18:10:36","Sillòn gerencial negro",Cilindro,3400,"TERMINADO
AVISADO",Entregada,1500
90,87,"2021-08-11 15:28:28","2021-09-16 14:07:49","1 Silla Rody alta negra y 1 Sillòn Aluminio alto","Revisar y presupuestar",11700,"benjaminboromdp@gmail.com
Enviè presupuesto al mail: 1) Retapizar asiento, colocar tornillos en chapòn y cilindro 2) Colocar chapòn basculante nuevo. PAGADO
AUTORIZADO
AVISADO",Entregada,NULL
91,88,"2021-08-12 17:22:13","2021-09-03 19:03:01","Sillòn gerencial rojo","Ruedas, basculante y lubricar regulaciòn de altura",7000,"TERMINADO
AVISADO",Entregada,1000
92,89,"2021-08-12 18:44:29","2021-08-20 18:13:17","Asiento silla negra",retapizar,1900,NULL,Entregada,NULL
93,90,"2021-08-17 15:11:47","2021-09-03 14:59:43","Silla tipo Rody baja en tela azul","cilindro, ruedas y retapizado",8370,"Retapizar en Cuerotex VisòN ( segundo en el muestrario)
PAGADO
AVISADO",Entregada,NULL
94,91,"2021-08-18 20:01:25","2021-09-02 19:34:07","2 Sillones C chicos","Retapizado completo, 1 cilindro, 5 ruedas y tornillos.",12400,"Bruno
Avisè x w app",Entregada,5000
95,92,"2021-08-19 15:54:06","2021-08-27 17:49:53","Silla aluminio alta","Cambio de cilindro",3400,"TERMINADO
AVISADO",Entregada,NULL
96,93,"2021-08-20 13:55:39","2021-09-17 15:30:36","Silla Ergo negra","cambiar chapón con U- cambiar cilindro",6100,"Enviè presup. x w app
ENTREGADO
FALTA PAGO",Entregada,NULL
97,89,"2021-08-20 18:03:26","2021-08-26 19:34:45","Asiento silla R",Retapizar,1900,NULL,Entregada,NULL
98,94,"2021-08-25 15:15:11","2021-09-20 16:00:10","Silla Rody alta en Altamira verde","Revisar y avisar",4200,"Cilindro y aceitar contacto permanente.
AUTORIZADA/ FALTA PAGO
TERMINADA
AVISADA",Entregada,NULL
99,69,"2021-08-25 18:40:44","2021-09-28 18:07:57","2 Silla 7010 color crema , sin ap.","revisar y retapizado",10200,"Retapizado completo y ruedas a cada silla
$ 3600.- (retap.) + $ 1500 (ruedas)  son $ 10200.-",Entregada,2000
100,66,"2021-08-26 15:04:24","2021-12-14 17:19:13","Sila cajera Rbaja s/brazos","Revisar y hacer",11600,NULL,Entregada,NULL
101,95,"2021-08-26 17:54:43","2021-09-10 17:06:42","2 Sillones gerenciales negros ( 1 con casco y uno sin casco )","Retapizar asientos y apoyabrazos en uno de ellos.",6100,"Retap. as- $ 2500/ retap. apoyas. $ 1100.- CON COSTURA- AVISADO 0209",Entregada,1000
102,51,"2021-08-27 15:46:38","2021-08-30 14:49:54","SILLA BLANCA MATE CON BASE CROMADA SIN APOYAS",CILINDRO,3400,"solo arreglar cilindro.",Entregada,1000
103,96,"2021-08-28 16:20:38","2021-09-09 15:38:54","Silla RR baja en Puntino petroleo","Rellenar asiento, cilindro, suplementar apoyabrazos",5500,AUTORIZADA,Entregada,NULL
104,97,"2021-08-28 16:40:50","2021-09-11 14:18:05","Sillòn gerencial beige","cambiar chapon (comun)- poner 4 parker-  ver si hay que suplementar cilindro  al cambiar chapón",2900,"Enviè w app
AVISADO",Entregada,NULL
105,50,"2021-08-28 16:49:24","2021-09-14 15:45:53","2 Sillones red cromados","En los 2 cilindro, interno de madera con insertos nuevos.",13740,"Enviè mensaje 28/08/21. AVISADO TERMINACION",Entregada,NULL
106,11,"2021-08-30 15:12:56","2021-09-07 14:11:59","Sillòn c/casco, tela negra","Poner botones en asiento, 5 ruedas, cilindro.",5700,"Entregar silla " 8500 "  del pedido anterior. Pagada 6500.   ?",Entregada,NULL
107,66,"2021-08-30 16:45:46","2021-12-14 17:17:27","Silla cromada blanca","Soldar asiento y hacer.",0,"Soldadura $ 2500.-",Entregada,NULL
108,99,"2021-08-31 17:32:13","2021-09-01 17:16:45","Sillon gerencial con apoyabrazos negro",Cilindro_Cucurucho,3600,AUTORIZADO,Entregada,NULL
109,100,"2021-08-31 17:36:24","2021-09-06 17:32:48","Sillon gerencial sin apoyabrazos, azul, base cromada","Retapizado completo ecocuero negro",4600,"Enviè presupuesto por w app.
AVISADO",Entregada,NULL
110,101,"2021-09-01 13:24:31","2021-09-29 16:25:07","1 Sillòn gerencial cromado, 1 Silla Rody c/riñonera y 1  Silla neum. negra","Ver cuaderno",6800,"$ 6800.-. Avisado",Entregada,NULL
111,59,"2021-09-01 15:28:18","2021-09-07 16:04:37","Silla India c/apoyabrazos Golf negra","Cilindro, suplem. , apoyabrazos y retapizar asiento",5900,"cilindro $ 3600, suplem. apoyas $ 500 y retap. asiento $ 1800",Entregada,NULL
112,69,"2021-09-01 15:49:02","2021-09-09 15:02:28","sILLA 7010 OPERATIVA C/APOYAS COLOR CREMA, sILLA 7010 FIJA SIN APOYAS COLOR CREMA","1) Retapizado completo, cilindro y ruedas  2) Retapizado completo, càscara respaldo y 1 tornillo.",12800,NULL,Entregada,NULL
113,102,"2021-09-03 14:24:13","2021-09-10 14:10:43",Candy,Revisar,2000,NULL,Entregada,NULL
114,103,"2021-09-03 15:18:44","2021-09-15 19:31:58","Sillon tipo gammer blanco y negro","Revisar completo",12915,"Cilindro $ 3740, ruedas silic $ 1650,   cambiar chapon $ 2.300 cambiar estrella .... comun 2365 o cromada 5225.  totales 10055 o 12440. Hacer con cromada",Entregada,NULL
115,104,"2021-09-03 18:33:07","2021-09-30 17:28:31","Silla Tipo Tyson negra operativa - Silla tipo 7010 color verde musgo sin apoyas","Revisar y presupuestar",0,"Silla Tipo Tyson: Cilindro $ 3740  + suplementar apoyas    $ 600 +  Cambiar T de respaldo  $ 1000 =  5.340; Silla 7010: Retapizar y rellenar completo  $  3850.- màs $ 700 de interno TOTAL   9.890.-

TERMINADO
AVISADO",Entregada,NULL
116,105,"2021-09-03 19:47:55","2021-10-07 20:00:25","TOTAL 5 SILLAS - 3 SILLAS OPERATIVA TIPO RED NEGRAS, CUATRO APOYAS, CROMADAS- 1 SILLA TIPO CANDY C APOYAS NEGRA C RUEDAS- 1 SILLA TIPO CANDY CON APOYAS NEGRA FIJA","REVISAR Y AVISAR",24390,"Silla 3 no hay repuesto
APROBADO / PAGADO
AVISADA",Entregada,NULL
117,90,"2021-09-04 16:22:02","2021-09-20 18:37:21","Silla color chocolate","revisar chapon. no funciona palanca",0,NULL,Entregada,NULL
118,53,"2021-09-06 15:38:44","2021-09-28 18:10:25","Silla NV-5","Revisar movimientodel asiento",0,"Se cambiò chapòn de nuevo",Entregada,NULL
119,106,"2021-09-06 16:03:18","2021-10-12 19:15:06","6 Sillas Candy","Revisar y pasar presupuesto / AUTORIZADO / AVISADO desde mi celu",32350,"Ver cuaderno
Avisada x w app
PAGADO / Retiran Lunes",Entregada,NULL
120,100,"2021-09-06 17:33:21","2021-09-28 18:11:28","Silla fija banca, cromada","Revisar y tapizar en ecocuero negro",4600,"AVISADO
sumar $450 de regatones",Entregada,NULL
121,107,"2021-09-07 17:40:16","2021-10-01 18:04:35","Sillon gerencial Negro","Revisar y presupuestar",6390,"Ruedas conjunto completo : 1650,  Cambio de cilindro: 3740,   Rellenar apoyas : 1000.  TOTAL: 6.390.-

AVISADO",Entregada,NULL
122,108,"2021-09-07 17:41:51","2021-10-01 18:04:51","Silla Bezzi, color negra","Revisar y presupuestar",6050,"Cambiar chapon basculante, soldar o tornillos    6.050.- pagada

AVISADO
Autorizado",Entregada,NULL
123,109,"2021-09-08 19:34:45","2021-09-28 19:25:10","Respaldo sillon gerencial negro","Revisar y presupuestar",2600,NULL,Entregada,NULL
124,98,"2021-09-09 17:20:30","2021-11-04 15:09:40","Respaldo sillon gerencial negro",reparar,0,NULL,Entregada,NULL
125,110,"2021-09-09 17:24:45","2021-09-28 18:11:55","Sillon Matero Rojo","Retapizar en nueva tela gamuzina . la mas clarita (Parecida al Arco)",4000,NULL,Entregada,NULL
126,88,"2021-09-11 14:52:16","2021-09-23 19:22:18","Sillon gerencial",Revisar,0,"Le pusimos 1 cilindro s/cargo",Entregada,NULL
127,111,"2021-09-11 15:26:18","2021-10-01 19:42:23","Silla 7010 op color crudo sin apoyas","Ruedas, retapizado completo en ecocuero blanco , ajuste general",5500,AVISADA,Entregada,2500
