created_at,job,price(usd),matched_keywords_job
2021-06-17 17:14:28,"Retapizar asiento,ruedas, chapòn, colocar arandelas y cilindro",51.84,cilindro
2021-06-17 19:10:57,Cambiar cilindro y prolongaciòn.,22.09,cilindro
2021-06-22 19:13:03,cambiar cilindro,0.0,cilindro
2021-06-22 19:46:56,Cambiar cilindro y revisar,19.02,cilindro
2021-06-26 14:06:13,cambiar cilindro,19.02,cilindro
2021-06-29 18:11:51,"1) Retapizado y cilindro  2) Retapizado, 2 tornillos y cilindro",76.69,cilindro
2021-06-29 18:11:51,"1) Retapizado y cilindro  2) Retapizado, 2 tornillos y cilindro",76.69,cilindro
2021-07-01 15:52:10,"1 - Cilindro y ruedas  2- basculante, cilindro y ruedas",77.89,cilindro
2021-07-06 15:10:21,Cambio de cilindro,17.66,cilindro
2021-07-07 15:28:59,Se cambiò cilindro y se suplementò c/aluminio en el chapòn.,21.65,cilindro
2021-07-07 18:17:14,Retapizado y cilindro,43.3,cilindro
2021-07-08 16:35:34,"1) cilindro y soldar 2) cilindro 3) cilindro, soldar y tornillo",62.68,cilindro
2021-07-08 16:35:34,"1) cilindro y soldar 2) cilindro 3) cilindro, soldar y tornillo",62.68,cilindro
2021-07-08 16:35:34,"1) cilindro y soldar 2) cilindro 3) cilindro, soldar y tornillo",62.68,cilindro
2021-07-10 15:36:48,"Retapizado, cilindro, canasto, y chapòn.",53.56,cilindro
2021-07-15 14:22:41,Cambio de cilindro,17.66,cilindro
2021-07-19 16:45:47,"cilindro, retap.y rell. asiento y tornillos",31.34,cilindro
2021-07-22 18:39:45,Revisar cilindro,0.0,cilindro
2021-07-26 19:03:55,Cambiar cilindros y revisar ( VER CUADERNO ),211.62,cilindro
2021-08-03 19:26:48,Cambio de cilindro,19.26,cilindro
2021-08-04 16:17:06,colocar cilindro corto,20.4,cilindro
2021-08-07 15:30:55,"Revisar y cotizar cilindro, ruedas Portantino",57.22,cilindro
2021-08-09 17:11:09,Colocar cilindro largo,19.26,cilindro
2021-08-17 15:11:47,"cilindro, ruedas y retapizado",47.42,cilindro
2021-08-18 20:01:25,"Retapizado completo, 1 cilindro, 5 ruedas y tornillos.",70.25,cilindro
2021-08-19 15:54:06,Cambio de cilindro,19.26,cilindro
2021-08-20 13:55:39,cambiar chapón con U- cambiar cilindro,34.56,cilindro
2021-08-28 16:20:38,"Rellenar asiento, cilindro, suplementar apoyabrazos",31.16,cilindro
2021-08-28 16:40:50,cambiar chapon (comun)- poner 4 parker-  ver si hay que suplementar cilindro  al cambiar chapón,16.43,cilindro
2021-08-28 16:49:24,"En los 2 cilindro, interno de madera con insertos nuevos.",77.85,cilindro
2021-08-30 15:12:56,"Poner botones en asiento, 5 ruedas, cilindro.",32.29,cilindro
2021-09-01 15:49:02,"1) Retapizado completo, cilindro y ruedas  2) Retapizado completo, càscara respaldo y 1 tornillo.",70.33,cilindro
2021-09-15 17:05:05,Cambio de cilindro y chapòn. POner el cono,30.77,cilindro
2021-09-20 16:51:22,Cambiar el cilindro,20.55,cilindro
2021-09-23 19:40:33,Cambiar cilindro,0.0,cilindro
2021-09-27 15:08:28,Chapòn y cilindro,31.32,cilindro
2021-10-06 19:09:55,Cambiar basculante con parker y cilindro y cucurucho,41.86,cilindro
2021-10-07 14:02:00,"Soldar, suplementar cilindro y cambiar cilindro",31.37,cilindro
2021-10-07 14:02:00,"Soldar, suplementar cilindro y cambiar cilindro",31.37,cilindro
2021-10-14 17:11:14,"Revisar y presupuestar: Retapizado completo, interno asiento, cilindro, retocar aro, ruedas y 2 tornillos.",53.68,cilindro
2021-10-18 16:11:38,Revisar cilindro y cambiar estrella. Pasè presup. x w app,37.65,cilindro
2021-10-18 19:31:30,"Ruedas, cilindro, 2 tornillos y suplem. chapòn ( arandela)",27.4,cilindro
2021-10-21 15:35:56,Estrella chica y cilindro,28.04,cilindro
2021-10-28 14:16:36,Revisar cilindro ($ 3700.-),0.0,cilindro
2021-10-28 18:16:49,"Rellenar asiento, cilindro y ruedas",36.03,cilindro
2021-10-29 15:31:06,colocar cilindro nuevo  y armar,19.61,cilindro
2021-11-03 14:07:43,Cambio de cilindro. PAGADO,25.27,cilindro
2021-11-03 17:31:05,Revisar y presupuestar/se baja cilindro/ contacto,56.08,cilindro
2021-11-05 13:30:24,Cambiar chapòn c/colocaciòn de parker y revisar cilindro,62.16,cilindro
2021-11-06 15:29:36,Cambiar cilindro y ruedas,36.15,cilindro
2021-11-08 20:43:38,"Chapòn basculante, cilindro y suplem. estrella",64.86,cilindro
2021-11-13 17:45:34,"Revisar y presupuestar: cilindro, chapòn, ruedas, rellenar asiento y respaldo, tornillo y suplem. apoyas",101.01,cilindro
2021-11-24 20:47:29,Cambiar cilindro,25.34,cilindro
2021-11-25 17:07:38,Revisar cilindro y ver,59.8,cilindro
2021-12-03 15:47:59,Hacer funda borde asiento c/refuerzo y poner taquito de goma dentro de cilindro,20.57,cilindro
2021-12-14 18:10:07,Cambiar cilindro,26.6,cilindro
2021-12-16 17:38:05,"1.- retapizar, contacto, tornillo, ruedas, cilindro.  2) estrella med., rellenar asiento, ruedas y 1 tornillo.",143.33,cilindro
2022-01-04 20:07:18,"Cambio de cilindro, chapòn y fijar base.",32.3,cilindro
2022-01-05 16:24:05,"1) Cilindro, ruedas, retap. y rellenar asiento y 1 inserto 2) Cambiar estructura, ruedas, rellenar completo y cilindro",83.97,cilindro
2022-01-05 17:03:36,cilindros y revisar,116.03,cilindro
2022-01-06 14:49:54,"Interno madera c/insertos, tapizar y rellenar asiento, ruedas, cilindro y contacto.",64.35,cilindro
2022-01-08 15:49:42,Cambiar cilindro y revisar,18.66,cilindro
2022-01-08 16:03:52,Cambiar cilindro y perilla contacto perm.,22.49,cilindro
2022-01-08 16:50:06,"Colocar estrella cromada, cilindro y basculante",71.29,cilindro
2022-01-21 18:18:06,"Revisar y presupuestar: chapòn, cilindro, ruedas, enderezar aro, interno asiento de madera, retapizado asiento c/relleno.",67.94,cilindro
2022-01-25 20:30:15,cilindro y retapizar asiento,30.14,cilindro
2022-01-26 17:42:51,Revisar cilindro y chapòn (soldar),31.58,cilindro
2022-02-03 16:22:40,cambiar cilindro,20.29,cilindro
2022-02-04 16:46:25,"Revisar cilindro, ruedas y retapizado de asiento y respaldo",49.76,cilindro
2022-02-04 17:02:07,Cambiar cilindro y endrerezar apoyas,23.67,cilindro
2022-02-11 18:36:40,"Teñir sillòn grande y rellenar asiento, cilindro y suplementar $ 3300.-  / $ 4100.- / $ 700.-  Total $ 8100.-",39.13,cilindro
2022-02-12 15:14:57,Cambiar cilindro de china a Sillòn / Retapizar sillòn,43.96,cilindro
2022-02-17 20:37:11,Retiro 5 cilindros 17/02/22,0.0,cilindro
2022-02-18 18:33:25,Cambio de cilindro en los 2,39.61,cilindro
2022-02-25 16:41:12,revisar y reparar cilindros,19.32,cilindro
2022-03-03 15:51:45,Cambiar cilindro y ( ruedas ),0.0,cilindro
2022-03-10 20:59:09,Cambio de cilindro,22.96,cilindro
2022-03-16 16:03:53,Colocar cilindro largo,4.08,cilindro
2022-03-21 13:54:04,"Revisar cilindro, perilla de palanca y suplem.",24.23,cilindro
2022-03-22 17:15:39,Cambio de cilindro,22.96,cilindro
2022-03-25 16:08:22,Revisar cilindro y basculante,23.98,cilindro
2022-03-28 17:19:47,Revisar estrella c/cilindro pasado. Presupuestar,6.63,cilindro
2022-04-02 16:41:17,Cambio de cilindro,0.0,cilindro
2022-04-20 18:09:09,"Silla cromada, no tiene arreglo, silla Candy : fabricar interno $ 3800.- y cilindro $ 4700.- ( si se utiliza el cilindro de la otra, se ahorra èste importe)",21.37,cilindro
2022-04-20 18:09:09,"Silla cromada, no tiene arreglo, silla Candy : fabricar interno $ 3800.- y cilindro $ 4700.- ( si se utiliza el cilindro de la otra, se ahorra èste importe)",21.37,cilindro
2022-04-21 19:19:40,Cambiar cilindro,0.0,cilindro
2022-05-02 17:17:18,"cilindro, estrella y 1 rueda /",47.61,cilindro
2022-05-03 14:18:08,"Cambiar cilindro, abrir tapizado y sacar tornillos cortados de insertos apoyabrazos, colocar 2 tornillos largos Allen.",30.1,cilindro
2022-05-04 18:18:45,Cambio de cilindro y rellenar asiento,34.83,cilindro
2022-05-06 19:32:49,"Cilindro, rellenar asiento, enderezar estructura, perilla cilindro.",36.07,cilindro
2022-05-11 14:50:16,"Cambiar cilindro y chapòn, fijar c/parker",39.3,cilindro
2022-05-16 16:31:29,Cambio de cilindro,24.38,cilindro
2022-05-16 19:45:42,cambiar cilindro 4.900.-. tapizado completo 5.500,51.74,cilindro
2022-05-21 13:38:50,Cambio de cilindro,24.38,cilindro
2022-05-23 18:06:35,Cambiar ruedas y cilindro a base cromada nueva,33.83,cilindro
2022-05-24 19:44:26,Sacar y luego volver a colocar los cilindros,9.95,cilindro
2022-05-31 18:55:14,"Cambiar cilindros, tapizado de 2 asientos, ruedas y revisar",159.95,cilindro
2022-06-01 17:24:46,cambiar cilindros y reparar 1 apoya ( tornillo cortado ),66.15,cilindro
2022-06-04 14:59:25,Cambiar cilindro y basculante ( c/Parker),45.17,cilindro
2022-06-07 17:30:57,Revisar cilindro,3.42,cilindro
2022-06-10 18:06:51,Cambiar cilindro,20.94,cilindro
2022-06-21 15:08:46,Cambio de cilindro y soldar chapòn,24.36,cilindro
2022-06-21 20:02:00,cilindro y revisar,37.61,cilindro
2022-06-22 13:50:18,Revisar y presupuestar/ cilindro,0.0,cilindro
2022-06-23 13:05:26,cilindro y revisar,24.36,cilindro
2022-06-30 18:36:56,Cambio de cilindro,21.79,cilindro
2022-07-01 17:13:03,Cambiar cilindro,17.83,cilindro
2022-07-01 19:16:09,Revisar basculante y ver ajuste cilindro en chapòn,7.34,cilindro
2022-07-04 14:16:50,Cambio de cilindro,19.23,cilindro
2022-07-04 17:50:13,Cambiar cilindro,18.18,cilindro
2022-07-07 16:57:37,Cambio de cilindro y 4 tornillos,19.93,cilindro
2022-07-21 14:04:14,Cambio de cilindro,19.23,cilindro
2022-07-22 14:33:23,Cambio de cilindro,17.48,cilindro
2022-07-22 18:35:06,Cambio de cilindro,19.23,cilindro
2022-07-23 16:13:53,Cambio de cilindro,19.23,cilindro
2022-08-01 16:54:21,Cambio de cilindro,7.02,cilindro
2022-08-01 17:20:19,Cambio de cilindro y estrella chica,32.63,cilindro
2022-08-02 14:48:57,Cambio de cilindro y ruedas,0.0,cilindro
2022-08-11 15:17:46,Silla Diva: cilindro  / Silla cajera revisar y presupuestar,58.95,cilindro
2022-08-24 15:17:43,Cambio de cilindro. Revisar,20.7,cilindro
2022-08-29 14:00:20,Cambio de cilindro,35.26,cilindro
2022-09-06 14:19:26,Cambio de cilindro,20.77,cilindro
2022-09-08 16:26:54,Cambio de cilindro,20.77,cilindro
2022-09-09 14:45:03,Cambio de cilindro,20.77,cilindro
2022-09-09 19:11:05,Cambio de cilindro,29.58,cilindro
2022-09-09 19:19:53,Cambio de cilindro y estrella mediana,34.93,cilindro
2022-09-10 15:46:31,Cambio de cilindro y ruedas,27.82,cilindro
2022-09-10 16:06:13,Cambio de cilindro,20.77,cilindro
2022-09-28 15:07:38,Cambio de cilindro,20.77,cilindro
2022-09-29 16:09:04,Revisar y colocar cilindro de la anterior,51.06,cilindro
2022-09-29 18:37:31,Revisar cilindro,20.77,cilindro
2022-10-05 17:53:38,Cambio de cilindro,17.25,cilindro
2022-10-06 17:18:58,cilindro y estrella,27.13,cilindro
2022-10-11 16:47:00,"Rellenar y retap. asiento, pintada al aro, cilindro y 2 ruedas",31.58,cilindro
2022-10-13 17:33:03,"Revisar respaldo, y retap. asiento parcial y apoyacabezas, cilindro",43.86,cilindro
2022-10-25 14:33:20,Cambio de cilindro,17.25,cilindro
2022-10-27 19:28:01,Cambio de cilindro,18.13,cilindro
2022-11-07 20:56:38,Cambio de cilindro,29.67,cilindro
2022-11-10 19:40:07,"colocar cilindro, chapòn c/manija y madera asiento.",59.33,cilindro
2022-11-18 16:37:13,cilindro y presupuestar,30.86,cilindro
2022-11-25 15:42:13,Cambio de cilindro y 1 rueda,32.87,cilindro
2022-11-25 17:14:34,Cambio de cilindro,46.41,cilindro
2022-11-28 19:29:21,Cambio de cilindro ( largo ),43.06,cilindro
2022-12-15 15:58:51,Intercambiar cilindro,7.25,cilindro
2022-12-26 15:46:27,Cambio de cilindro / Sin cargo,0.0,cilindro
2022-12-27 15:53:17,Reparar apoyabrazo sillòn y cilindro en base,52.66,cilindro
2022-12-28 17:47:41,Revisar y cambiar cilindro,36.71,cilindro
2022-12-29 14:45:53,Cambio de cilindro,34.3,cilindro
2022-12-29 17:58:18,cambiar cilindro,34.3,cilindro
2022-12-29 18:43:56,Cambiar chapòn y revisar/ se baja cilindro,57.39,cilindro
2023-01-02 15:43:16,Revisar cilindro,25.86,cilindro
2023-01-02 16:27:30,NV5 VER RELLENO CON BULTO Y revisar 7010 chapòn y cilindro,0.0,cilindro
2023-01-03 19:31:30,"Chapón, cilindro, contacto y 2 ruedas",53.19,cilindro
2023-01-20 15:56:25,Cambio de cilindro,28.5,cilindro
2023-01-20 18:20:39,"1 rueda, fijar cilindro altura maxima",6.33,cilindro
2023-01-20 20:41:29,"Estrella cromada, cilindro y ruedas",50.53,cilindro
2023-01-25 17:32:38,Cambio de cilindro,0.0,cilindro
2023-01-30 19:15:35,Revisar y presupuestar. cilindro y estrella,29.95,cilindro
2023-01-31 16:27:26,Colocar cilindro cromado corto,13.19,cilindro
2023-03-06 17:12:01,Cambiar cilindro,27.84,cilindro
2023-03-09 20:58:16,Cambiar el cilindro neumatico. Tambien revisarr y avisar si hay algo mas. + 5 RUEDAS 4500,44.59,cilindro
2023-03-10 15:19:12,cambio de cilindro,33.51,cilindro
2023-04-10 17:40:25,Cambiar cilindro,25.97,cilindro
2023-04-12 16:11:19,"Retapizado, perilla chapón y revisar cilindro",48.27,cilindro
2023-04-15 14:20:25,Revisar y presupuestar ( cilindro ) No Tapizado,37.64,cilindro
2023-04-24 19:02:43,Cambiar cilindro. Ruedas. Cilindro y tornillo,70.78,cilindro
2023-05-04 16:24:27,Cambiar cilindro,28.25,cilindro
2023-05-05 19:41:58,"Ya se le cambiò el cilindro, se mueve. Revisar",0.0,cilindro
2023-05-08 16:32:13,Revisar y presupuestar / cilindro,42.0,cilindro
2023-05-11 18:00:34,Cambiar cilindro y basculante,50.31,cilindro
2023-05-12 15:56:20,Cambiar cilindro,30.52,cilindro
2023-05-16 18:47:38,Cambiar cilindro y ruedas,0.0,cilindro
2023-05-29 14:48:15,Cambiar cilindro,30.93,cilindro
2023-06-14 17:28:46,Revisar cilindro y cotizar retapizado,214.72,cilindro
2023-06-23 14:37:33,Cambiar cilindro,33.44,cilindro
2023-06-23 14:47:56,Cambiar cilindro,33.45,cilindro
2023-06-23 15:21:21,Cambiar cilindro,33.44,cilindro
2023-06-23 19:07:52,Revisar cilindro,33.33,cilindro
2023-06-28 16:44:35,Cambiar cilindro - Reviso,33.46,cilindro
2023-06-29 16:56:55,Cambiar cilindro. Revisar,33.44,cilindro
2023-07-01 14:17:08,"Revisar y presupuestar ( chequear x las dudas, cilindro )",15.6,cilindro
2023-07-07 17:36:20,Cambiar cilindro,31.19,cilindro
2023-07-08 13:43:37,Cambiar cilindro,0.0,cilindro
2023-07-10 19:35:24,Cambio de cilindro,31.19,cilindro
2023-07-11 14:33:23,cilindro,0.0,cilindro
2023-07-22 14:29:14,Cambiar cilindro,31.19,cilindro
2023-07-24 14:49:46,Revisar cilindro pasado,0.0,cilindro
2023-07-25 19:46:46,Tapizado completo en ecocuero negro y cilindro,58.72,cilindro
2023-07-27 19:05:39,Cambiar cilindro en los 3 y ruedas en verdes ( nuevas ò usadas ),0.0,cilindro
2023-07-31 18:15:20,Cambiar cilindro,31.19,cilindro
2023-08-01 16:31:43,Cambiar cilindro,0.0,cilindro
2023-08-04 14:45:05,Cambiar cilindro - Reviso,30.34,cilindro
2023-08-12 16:47:23,Ver cilindro pasado,14.48,cilindro
2023-08-16 16:14:48,Revisar y presupuestar. Cambiar cilindro,32.41,cilindro
2023-08-19 16:43:58,"Cambiar basculante y cilindro, c/insertos",49.66,cilindro
2023-08-29 17:47:51,Cambiar cilindro y ajustar,32.41,cilindro
2023-09-06 19:14:28,Tapizado y cilindro,65.82,cilindro
2023-09-08 15:46:07,Revisar y presupuestar. Cambar cilindro neumatico. Retapizar asiento y almohadita en azul. Lo mas parecido al otro,53.16,cilindro
2023-09-22 14:45:38,Cambiar cilindro,32.91,cilindro
2023-09-27 17:12:37,Revisar y presupuestar ( ver cilindro ),34.56,cilindro
2023-10-11 18:24:28,"Colocar cilindro, basculante y 1 rueda",69.74,cilindro
2023-10-12 15:12:52,Cambiar cilindro,27.69,cilindro
2023-10-21 15:49:00,"Cambiar cilindro, ver apoyabrazos y retapizar asiento en Eco negro",40.0,cilindro
2023-10-21 16:01:04,Cambiar cilindro,27.69,cilindro
2023-10-26 14:41:35,"Revisar y presupuestar cilindro, apoyabrazo (arreglo) y ver rueda faltante",0.0,cilindro
2023-10-27 15:37:50,cambiar cilindro,28.72,cilindro
2023-10-30 14:59:58,Revisar y presupuestar cilindro,36.92,cilindro
2023-10-31 15:25:47,cambiar cilindro,25.64,cilindro
2023-10-31 17:41:55,Revisar y presupuestar/ ver cilindros se bajan.,109.03,cilindro
2021-07-23 16:20:35,"Revisar . Ver estrella, ruedas. retapizar (pasan el color de ecocuero). Pasar presupuesto",42.74,estrella
2021-07-27 15:51:41,Suplementar estrella,3.99,estrella
2021-07-28 19:52:46,colocar estrella mediana y 1 rueda,13.96,estrella
2021-10-07 13:56:09,Cambiar estrella,11.76,estrella
2021-10-07 18:30:25,Colocar estrella mediana,12.75,estrella
2021-10-18 16:05:44,Cambiar estrella,9.8,estrella
2021-10-18 16:11:38,Revisar cilindro y cambiar estrella. Pasè presup. x w app,37.65,estrella
2021-10-22 13:32:47,Cambiar estrella cromada,0.0,estrella
2021-10-26 19:22:38,"Cambiar estrella y suplementar , solamente !!",14.02,estrella
2021-11-08 19:26:43,Colocar estrella med. plástica y ruedas,27.03,estrella
2021-11-08 20:43:38,"Chapòn basculante, cilindro y suplem. estrella",64.86,estrella
2021-11-09 18:09:54,Colocar estrella mediana y ruedas,27.7,estrella
2021-11-17 16:22:16,colocar estrella mediana y 1 rueda  ( $ 2400 + rueda),18.45,estrella
2021-11-17 20:40:03,"Retapizado completo en cuerotex negr, rellenar, estrella mediana con ruedas. Revisar inserto apoyabrazos. 10000 mas inserto",67.57,estrella
2021-11-26 20:49:32,estrella chica y ruedas usadas,0.0,estrella
2021-12-06 20:04:52,Colocar estrella plàstica,16.74,estrella
2021-12-10 16:39:03,Colocar estrella chica y cotizar: Parches en casco ò Retapizado de casco,14.04,estrella
2021-12-15 20:25:57,cambiar estrella mediana,0.0,estrella
2021-12-16 17:38:05,"1.- retapizar, contacto, tornillo, ruedas, cilindro.  2) estrella med., rellenar asiento, ruedas y 1 tornillo.",143.33,estrella
2021-12-22 20:20:22,Cambiar estrella,16.74,estrella
2022-01-08 16:50:06,"Colocar estrella cromada, cilindro y basculante",71.29,estrella
2022-01-11 18:04:27,Colocar estrella mediana,11.44,estrella
2022-01-21 17:23:26,cambiar estrella mediana,12.44,estrella
2022-01-28 15:20:30,Colocar estrella mediana y ruedas,22.97,estrella
2022-02-09 18:39:18,Colocar estrella cromada y nivelar,14.49,estrella
2022-02-12 15:18:39,Colocar estrella mediana,12.56,estrella
2022-02-15 15:52:07,Colocar estrella mediana de las nuevas y ruedas usadas / $ 2600.- ruedas $ 900,14.49,estrella
2022-02-23 20:47:36,estrella mediana,12.56,estrella
2022-03-04 15:09:34,Ruedas y estrella mediana,22.45,estrella
2022-03-08 16:54:30,Colocar estrella,13.27,estrella
2022-03-08 20:04:53,Cambiar estrella y ruedas,21.43,estrella
2022-03-22 18:52:33,Colocar estrella mediana,14.59,estrella
2022-03-28 17:19:47,Revisar estrella c/cilindro pasado. Presupuestar,6.63,estrella
2022-03-28 19:43:15,"Cilindr, suplem. c/grilòn y suplem. estrella.",28.06,estrella
2022-04-12 19:23:55,cambiar estrella y suplementar,17.81,estrella
2022-04-26 18:33:44,"Suplementar estrella, ajustar respaldo y chapòn c/arandelas",3.56,estrella
2022-04-28 17:51:41,Colocar estrella cromada,35.27,estrella
2022-05-02 17:17:18,"cilindro, estrella y 1 rueda /",47.61,estrella
2022-05-10 16:48:56,Colocar estrella chica màs 1 rueda ( $ 340.- ),14.63,estrella
2022-05-11 14:48:39,"colocar estrella mediana, 1 rueda y suplementar con arandelas.",19.1,estrella
2022-06-21 15:06:17,cambiar estrella,13.68,estrella
2022-07-08 17:36:21,Suplementar estrella,3.85,estrella
2022-07-20 17:07:50,cambiar estrella mediana,11.19,estrella
2022-07-25 16:54:37,Armar base completa c/chapòn cuadrado y estrella chica,41.78,estrella
2022-07-26 18:25:16,cambiar estrella mediana y 1 rueda us.,11.19,estrella
2022-08-01 17:20:19,Cambio de cilindro y estrella chica,32.63,estrella
2022-08-11 14:29:41,"Colocar estrella cromada, ruedas y pintar aro",37.89,estrella
2022-08-29 15:32:38,Colocar estrella/revisar. Pasar presupuesto,52.11,estrella
2022-09-09 19:19:53,Cambio de cilindro y estrella mediana,34.93,estrella
2022-09-21 14:18:33,Cambiar estrella,14.08,estrella
2022-09-29 17:48:11,cambiar estrella mediana,14.44,estrella
2022-10-03 15:42:48,Cambiar estrella y retapizado en Ecocuero negro,26.9,estrella
2022-10-06 17:18:58,cilindro y estrella,27.13,estrella
2022-10-11 15:07:19,"Cilindro, suplementar estrella y rellenar",28.36,estrella
2022-10-18 19:01:31,"Colocar base completa neumàtica, con estrella chica",40.94,estrella
2022-10-29 14:36:00,Cambiar estrella y 5 ruedas,19.01,estrella
2022-11-14 20:49:55,Cambiar estrella grande,22.01,estrella
2022-11-19 16:34:54,Cambiar estrella,20.53,estrella
2022-12-16 17:42:18,Colocar estrella mediana,23.19,estrella
2022-12-20 18:51:03,Ver estrella y presup,46.52,estrella
2022-12-22 18:40:16,Colocar estrella,3.38,estrella
2023-01-06 14:50:39,"estrella y ruedas, revisar",18.47,estrella
2023-01-13 14:48:24,"Cotizar retapizado en Talampaya Negro, estrella cromada grande y ruedas c/banda de siliconas Candy.",51.58,estrella
2023-01-13 20:00:23,cambio de estrella,13.72,estrella
2023-01-18 18:47:31,Cambiar estrella,12.66,estrella
2023-01-30 19:15:35,Revisar y presupuestar. cilindro y estrella,29.95,estrella
2023-02-09 18:17:17,Revisar estrella,13.67,estrella
2023-02-09 19:38:13,Cambiar estrella y ruedas,21.05,estrella
2023-02-13 20:37:01,"Cambiar estrella, la trajo",2.68,estrella
2023-02-23 18:05:52,Revisar estrella,9.65,estrella
2023-02-24 19:15:57,Cambiar estrella,12.87,estrella
2023-03-01 16:55:38,Cambiar estrella,12.37,estrella
2023-03-03 18:55:01,"Cambiar estrella, la trajo",14.18,estrella
2023-03-17 16:30:35,Cambiar estrella por cromada. Ruedas siliconadas,46.39,estrella
2023-04-28 13:24:13,estrella chica,11.47,estrella
2023-05-02 19:26:53,Colocar estrella cromada,28.66,estrella
2023-05-20 14:05:25,Cambiar estrella,12.06,estrella
2023-06-27 19:06:52,Cambiar estrella,14.72,estrella
2023-06-28 18:13:33,Cambiar estrella plàstica mediana,14.31,estrella
2023-09-04 15:53:14,Cambiar estrella,13.29,estrella
2023-09-06 15:56:37,Cambiar estrella,22.28,estrella
2023-09-15 18:08:05,estrella,13.92,estrella
2023-09-20 18:20:07,Cambiar estrella,15.19,estrella
2023-10-12 17:21:11,2 estrellas chicas y 1 rueda.,21.03,estrella
2023-10-18 13:57:09,Cambiar estrella y ruedas,27.79,estrella
2023-10-19 17:55:09,estrella mediana,13.74,estrella
2023-10-30 19:32:05,Cambiar estrella,11.59,estrella
2023-01-21 16:52:13,Cotizar retapizado en Jackson negro y mesh negro ( aprox. $ 10.000.-),25.33,mesh
2021-07-29 13:22:56,"Retapizar y rellenar (ver), arreglar respaldo y ruedas.",25.64,rellenar
2021-11-13 17:45:34,"Revisar y presupuestar: cilindro, chapòn, ruedas, rellenar asiento y respaldo, tornillo y suplem. apoyas",101.01,rellenar
